hospital,control,location,teach,bedsize,region,teachloc
4001,2,1,0,3,4,2
4004,1,1,1,1,4,3
4005,2,0,0,1,4,1
4006,1,0,0,1,4,1
4009,4,0,0,3,4,1
4010,1,0,0,3,4,1
4012,3,1,0,2,4,2
4015,2,1,0,1,4,2
4017,2,1,0,2,4,2
4022,2,1,1,3,4,3
4023,4,0,0,3,4,1
4025,2,1,0,3,4,2
4029,2,1,0,3,4,2
4031,2,1,0,1,4,2
4032,2,1,0,3,4,2
4033,2,1,1,3,4,3
4034,4,0,0,1,4,1
4040,1,0,0,1,4,1
4042,2,1,0,2,4,2
4043,3,1,0,3,4,2
4047,0,1,1,2,4,3
4049,2,,,2,4,1
4051,4,0,0,3,4,1
4052,3,1,0,2,4,2
4053,4,0,0,2,4,1
4059,2,1,0,2,4,2
4060,2,0,0,1,4,1
4061,0,1,1,2,4,3
4064,3,1,0,2,4,2
4065,2,1,0,3,4,2
4068,0,1,1,2,4,3
4070,2,1,0,3,4,2
4072,2,1,0,1,4,2
4073,2,1,0,1,4,2
4074,2,0,0,1,4,1
4075,2,1,0,3,4,2
4076,2,1,0,2,4,2
4079,2,1,0,2,4,2
4080,4,0,0,3,4,1
4081,2,,,3,4,2
4084,2,0,0,1,4,1
4085,3,1,0,1,4,2
4086,3,1,0,2,4,2
4088,2,1,1,2,4,3
4089,4,0,0,3,4,1
4091,2,1,0,3,4,2
4093,3,1,0,3,4,2
4094,2,1,0,1,4,2
4096,2,1,0,2,4,2
4097,1,1,1,2,4,3
4100,2,0,0,1,4,1
4103,2,1,0,3,4,2
4105,2,1,0,3,4,2
4107,0,1,1,3,4,3
4110,2,1,0,3,4,2
4111,3,1,0,1,4,2
4112,3,1,0,1,4,2
4116,4,0,0,2,4,1
4117,0,1,1,2,4,3
4118,2,1,0,1,4,2
4122,1,0,0,1,4,1
4123,4,0,0,1,4,1
4124,3,1,0,1,4,2
4125,3,1,0,1,4,2
4127,3,1,0,1,4,2
4128,3,1,0,1,4,2
4134,3,1,0,1,4,2
4137,3,1,0,1,4,2
5003,2,1,0,1,3,2
5004,2,0,0,1,3,1
5005,3,1,0,1,3,2
5006,3,0,0,3,3,1
5008,2,0,0,1,3,1
5009,2,0,0,3,3,1
5010,3,1,0,1,3,2
5011,2,0,0,3,3,1
5012,2,0,0,1,3,1
5014,3,0,0,2,3,1
5015,3,0,0,3,3,1
5016,2,1,0,3,3,2
5017,2,0,0,1,3,1
5020,2,1,0,1,3,2
5021,3,1,0,1,3,2
5026,3,1,0,1,3,2
5027,2,1,0,2,3,2
5030,1,0,0,1,3,1
5031,2,0,0,1,3,1
5032,2,1,0,3,3,2
5040,2,0,0,1,3,1
5041,2,1,0,2,3,2
5042,2,0,0,2,3,1
5043,2,0,0,2,3,1
5045,3,1,0,1,3,2
5046,2,0,0,1,3,1
5047,2,1,0,3,3,2
5048,3,0,0,1,3,1
5049,1,0,0,1,3,1
5050,1,0,0,2,3,1
5052,2,1,0,1,3,2
5053,3,1,0,1,3,2
5055,2,0,0,1,3,1
5056,3,0,0,1,3,1
5058,1,0,0,1,3,1
5061,3,0,0,3,3,1
5062,3,1,0,1,3,2
5063,3,0,0,3,3,1
5065,2,0,0,3,3,1
5068,3,1,0,2,3,2
5069,3,0,0,3,3,1
5071,3,1,0,1,3,2
5075,1,0,0,1,3,1
5077,1,0,0,1,3,1
5079,1,0,0,1,3,1
5082,2,0,0,1,3,1
5083,0,1,1,3,3,3
5085,1,0,0,2,3,1
5086,3,1,0,2,3,2
5088,2,0,0,3,3,1
5089,3,1,0,2,3,2
5090,1,0,0,1,3,1
5091,1,0,0,1,3,1
5093,3,0,0,2,3,1
5097,2,0,0,1,3,1
5098,2,1,0,2,3,2
5100,1,1,0,1,3,2
5101,2,1,0,3,3,2
5103,1,0,0,1,3,1
5106,3,1,0,2,3,2
5107,0,1,1,2,3,3
5114,3,1,0,1,3,2
5116,2,0,0,3,3,1
6001,0,1,1,2,4,3
6002,1,1,1,2,4,3
6003,3,0,0,2,4,1
6004,1,1,0,3,4,2
6006,2,1,0,1,4,2
6007,2,1,0,2,4,2
6008,2,0,0,1,4,1
6009,2,,,1,4,3
6010,0,1,1,2,4,3
6011,2,1,0,2,4,2
6012,2,1,0,1,4,2
6015,0,1,1,1,4,3
6016,3,,,3,4,2
6018,2,1,0,1,4,2
6019,2,,,1,4,2
6020,2,1,0,3,4,2
6021,3,1,0,3,4,2
6024,2,,,2,4,3
6025,3,1,0,3,4,2
6026,2,1,0,1,4,2
6028,0,1,1,3,4,3
6030,3,,,2,4,2
6031,1,1,1,1,4,3
6032,2,1,0,1,4,2
6033,2,1,0,3,4,2
6034,1,1,1,1,4,3
6035,1,1,0,1,4,2
6036,2,1,0,1,4,2
6037,1,0,0,1,4,1
6038,3,1,0,1,4,2
6041,1,,,2,4,2
6043,2,1,1,1,4,3
6044,3,1,0,2,4,2
6046,4,0,0,3,4,1
6048,0,1,1,2,4,3
6049,2,1,0,3,4,2
6050,2,1,0,3,4,2
6053,0,1,1,2,4,3
6054,2,0,0,1,4,1
6057,3,1,0,2,4,2
6060,2,1,1,2,4,3
6063,2,1,0,3,4,2
6064,0,1,1,1,4,3
6068,0,1,1,1,4,3
6070,3,1,0,2,4,2
6071,2,0,0,1,4,1
6072,2,1,0,3,4,2
6074,2,1,0,2,4,2
6075,1,1,0,2,4,2
6076,2,1,0,3,4,2
6080,3,1,0,2,4,2
6081,0,1,1,3,4,3
6083,2,1,0,3,4,2
6085,2,1,0,1,4,2
6086,3,0,0,2,4,1
6087,2,1,0,2,4,2
6090,0,1,1,3,4,3
6093,1,1,0,2,4,2
6094,2,1,0,2,4,2
6097,1,1,0,2,4,2
6098,2,1,0,2,4,2
6100,2,1,1,1,4,3
6104,2,1,0,1,4,2
6106,2,1,0,3,4,2
6108,2,1,0,1,4,2
6110,3,1,0,1,4,2
6111,3,1,0,2,4,2
6112,2,1,0,1,4,2
6113,4,0,0,3,4,1
6114,2,1,0,3,4,2
6116,2,,,3,4,2
6119,2,1,0,3,4,2
6120,2,1,0,1,4,2
6121,2,1,0,1,4,2
6122,1,0,0,3,4,1
6123,2,1,0,3,4,2
6126,2,1,0,2,4,2
6127,0,1,1,1,4,3
6128,0,1,1,1,4,3
6133,2,1,0,2,4,2
6136,2,1,0,3,4,2
6137,0,1,1,3,4,3
6139,2,1,1,1,4,3
6140,3,1,0,1,4,2
6141,2,1,0,2,4,2
6142,3,,,1,4,2
6143,2,1,0,2,4,2
6144,0,1,1,3,4,3
6145,1,0,0,1,4,1
6147,3,1,0,2,4,2
