year,hospital,mergeid,control,location,teach,bedsize,region
1998,6021,19986021,3,1,0,3,4
1998,6277,19986277,2,1,0,3,4
1998,6632,19986632,0,1,1,3,4
1998,6632,19986632,0,1,1,3,4
1998,6632,19986632,0,1,1,3,4
1998,6632,19986632,0,1,1,3,4
1999,6010,19996010,0,1,1,2,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6081,19996081,0,1,1,3,4
1999,6210,19996210,0,1,1,2,4
1999,6284,19996284,0,1,1,3,4
1999,6624,19996624,0,1,1,1,4
1999,6624,19996624,0,1,1,1,4
1999,6626,19996626,0,1,1,3,4
1999,6626,19996626,0,1,1,3,4
1999,9008,19999008,0,1,1,1,1
1999,9030,19999030,0,1,1,3,1
1999,9030,19999030,0,1,1,3,1
2000,6004,20006004,1,1,0,3,4
2000,6106,20006106,2,1,0,3,4
2000,6299,20006299,1,1,0,2,4
2000,6299,20006299,1,1,0,2,4
2000,6382,20006382,0,1,1,3,4
2000,6515,20006515,0,1,1,3,4
2000,6515,20006515,0,1,1,3,4
2000,6515,20006515,0,1,1,3,4
2000,6626,20006626,0,1,1,3,4
2000,6626,20006626,0,1,1,3,4
2000,6626,20006626,0,1,1,3,4
2000,6626,20006626,0,1,1,3,4
2000,9042,20009042,0,1,1,3,1
2001,6048,20016048,0,1,1,2,4
2001,6144,20016144,2,1,0,3,4
2001,6207,20016207,0,1,1,3,4
2001,6207,20016207,0,1,1,3,4
2001,6257,20016257,0,1,1,3,4
2001,6257,20016257,0,1,1,3,4
2001,6257,20016257,0,1,1,3,4
2001,6257,20016257,0,1,1,3,4
2001,6257,20016257,0,1,1,3,4
2001,6257,20016257,0,1,1,3,4
2001,6257,20016257,0,1,1,3,4
2001,6365,20016365,2,1,0,2,4
2001,6370,20016370,0,1,1,2,4
2001,6408,20016408,0,1,1,2,4
2002,6002,20026002,0,1,1,3,4
2002,6002,20026002,0,1,1,3,4
2002,6002,20026002,0,1,1,3,4
2002,6048,20026048,0,1,1,2,4
2002,6060,20026060,0,1,1,3,4
2002,6060,20026060,0,1,1,3,4
2002,6060,20026060,0,1,1,3,4
2002,6060,20026060,0,1,1,3,4
2002,6060,20026060,0,1,1,3,4
2002,6144,20026144,2,1,0,3,4
2002,6193,20026193,2,1,0,3,4
2002,6370,20026370,0,1,1,2,4
2002,6370,20026370,0,1,1,2,4
2002,6515,20026515,0,1,1,3,4
2002,6515,20026515,0,1,1,3,4
2002,6515,20026515,0,1,1,3,4
2002,6526,20026526,0,1,1,3,4
2002,6632,20026632,0,1,1,3,4
2002,6632,20026632,0,1,1,3,4
2002,6663,20026663,2,1,0,3,4
2002,9070,20029070,0,1,1,3,1
2003,6257,20036257,0,1,1,3,4
2003,6257,20036257,0,1,1,3,4
2003,6257,20036257,0,1,1,3,4
2003,6276,20036276,2,1,0,3,4
2003,6276,20036276,2,1,0,3,4
2003,6276,20036276,2,1,0,3,4
2003,6276,20036276,2,1,0,3,4
2003,6276,20036276,2,1,0,3,4
2003,6276,20036276,2,1,0,3,4
2003,6276,20036276,2,1,0,3,4
2003,6276,20036276,2,1,0,3,4
2003,6299,20036299,1,1,0,3,4
2003,6439,20036439,2,1,0,3,4
2003,6525,20036525,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6624,20036624,0,1,1,2,4
2003,6663,20036663,2,1,0,3,4
2003,9042,20039042,0,1,1,3,1
2004,6060,20046060,0,1,1,3,4
2004,6060,20046060,0,1,1,3,4
2004,6060,20046060,0,1,1,3,4
2004,6060,20046060,0,1,1,3,4
2004,6060,20046060,0,1,1,3,4
2004,6284,20046284,0,1,1,3,4
2004,6454,20046454,0,1,1,1,4
2004,6525,20046525,0,1,1,2,4
2005,6010,20056010,0,1,1,2,4
2005,6010,20056010,0,1,1,2,4
2005,6010,20056010,0,1,1,2,4
2005,6010,20056010,0,1,1,2,4
2005,6081,20056081,0,1,1,3,4
2005,6081,20056081,0,1,1,3,4
2005,6081,20056081,0,1,1,3,4
2005,6081,20056081,0,1,1,3,4
2005,6081,20056081,0,1,1,3,4
2005,6081,20056081,0,1,1,3,4
2005,6081,20056081,0,1,1,3,4
2005,6081,20056081,0,1,1,3,4
2005,6081,20056081,0,1,1,3,4
2005,6081,20056081,0,1,1,3,4
2005,6345,20056345,2,1,0,3,4
2005,6345,20056345,2,1,0,3,4
2005,6399,20056399,3,1,0,3,4
2005,6515,20056515,0,1,1,3,4
2005,6515,20056515,0,1,1,3,4
2005,6515,20056515,0,1,1,3,4
2005,6624,20056624,0,1,1,2,4
2005,6624,20056624,0,1,1,2,4
