"","procedures","meanDay","meanDayFromLVAD","n"
"1",11,9,-4,1
"2",12,9.90196078431373,0.941176470588235,51
"3",13,7.9,-2.4,10
"4",14,7.66666666666667,4.33333333333333,3
"5",17,4.7027027027027,-3.45945945945946,74
"6",22,24.5,17,2
"7",24,1,-2.8,5
"8",28,9,-13,1
"9",31,36,35,1
"10",40,4.63888888888889,-6.05555555555556,36
"11",41,2.5,-5.5,10
"12",42,0.5,-1.75,8
"13",43,14,10.6666666666667,3
"14",45,1.875,-9,16
"15",46,2.375,-2.5,8
"16",47,1.7,-5,10
"17",48,0.333333333333333,-3,3
"18",50,21.5,9.5,2
"19",51,17.6666666666667,-3,12
"20",52,6.33333333333333,-16,3
"21",53,6.5,-12.5,2
"22",54,23.1666666666667,2.16666666666667,6
"23",56,13.6,-2.4,5
"24",57,14,0,1
"25",59,4,2,1
"26",61,24,16,2
"27",62,32,21,1
"28",64,17,0,1
"29",65,32,21,1
"30",66,1.72413793103448,-4.06896551724138,58
"31",67,13,-3,2
"32",68,9,0,1
"33",93,62.195652173913,46.4347826086956,46
"34",94,7,0,1
"35",110,36,32,1
"36",118,28,27,1
"37",123,132,85,1
"38",125,23,1,1
"39",131,37,21,3
"40",139,36,32,1
"41",159,9,9,1
"42",212,76,52,2
"43",232,25.3333333333333,9.33333333333333,3
"44",239,9,3,1
"45",245,29,20,2
"46",310,22,16,1
"47",311,30.7918781725888,18.9695431472081,197
"48",315,44,11,1
"49",330,15,10,1
"50",331,9.4,-0.8,5
"51",336,0.5,0,2
"52",341,16.3287671232877,6.14155251141552,219
"53",343,31,21.5,2
"54",344,16.5,15,2
"55",346,41.25,34.75,4
"56",362,2,0,1
"57",370,25.7272727272727,11.1818181818182,11
"58",374,10.3333333333333,1.16666666666667,6
"59",375,57.7411764705882,45.7058823529412,85
"60",387,23.7777777777778,10.8888888888889,9
"61",390,6.25,-0.25,4
"62",403,16,10,2
"63",409,60,56,1
"64",458,32.5,31,2
"65",504,19,-18,1
"66",529,14,-46,1
"67",540,40.2857142857143,23.4285714285714,7
"68",544,91.3333333333333,74.6666666666667,3
"69",560,16,-2,1
"70",570,13,12,2
"71",586,11,0,1
"72",598,19.5,4.25,4
"73",602,1,1,1
"74",611,14,-20,2
"75",613,16,8,1
"76",639,24.8333333333333,5.83333333333333,6
"77",689,0,-9,1
"78",697,1,0,1
"79",741,0,-0.5,2
"80",781,14.5,0,2
"81",863,8.28571428571429,3,7
"82",864,174,166,1
"83",966,11.8,2.9,80
"84",1649,12,12,1
"85",1733,69,60,2
"86",1735,87,78,1
"87",2101,24.3333333333333,12.2,15
"88",2102,15.6666666666667,-4.66666666666667,3
"89",2103,47,25.3333333333333,3
"90",2109,25,9,3
"91",2121,8.66666666666667,-12.6666666666667,3
"92",2199,42,25,1
"93",2309,14.4666666666667,-5.6,15
"94",2319,13.5555555555556,-8.27777777777778,18
"95",2373,27,-6,1
"96",2551,23,20,1
"97",2761,4,0,1
"98",2911,17.5,0,2
"99",3009,107,74,1
"100",3129,38.5384615384615,29.8461538461538,13
"101",3142,29.96875,16.875,32
"102",3145,3,-4,1
"103",3169,21,-6,1
"104",3174,49.75,39.75,4
"105",3198,1,-6,1
"106",3199,78,33,2
"107",3201,68,57,1
"108",3209,36,23,1
"109",3220,80,-4,1
"110",3229,10,0,1
"111",3230,12,-14,1
"112",3249,0,-1,1
"113",3321,21,14.5,12
"114",3322,15.1166666666667,7,60
"115",3323,20.6756756756757,9.59459459459459,74
"116",3324,18,6.8728813559322,118
"117",3326,11.3333333333333,-7.33333333333333,3
"118",3327,13.75,-12.25,8
"119",3328,21.875,0.125,16
"120",3329,1,-1,1
"121",3339,43.5,26.5,2
"122",3343,9.2,2.8,5
"123",3349,15.5,0.5,2
"124",3393,73,47,1
"125",3401,8.66666666666667,1.38888888888889,18
"126",3402,8.1,4.2,10
"127",3403,14.0290456431535,5.11618257261411,482
"128",3404,20.5384615384615,9.93956043956044,182
"129",3406,31.75,14.8333333333333,12
"130",3409,19.864406779661,11.2881355932203,59
"131",3421,40.2857142857143,26.1428571428571,7
"132",3422,10.5,-6.5,4
"133",3424,19.5,13,2
"134",3425,69,50.5,2
"135",3451,49.8181818181818,31.3636363636364,11
"136",3452,70,57.6,5
"137",3459,26,3,1
"138",3471,23,15,1
"139",3472,6.33333333333333,3,3
"140",3479,15.9151291512915,4.48339483394834,271
"141",3481,57,39,1
"142",3482,38,1,1
"143",3484,60.5,15.5,2
"144",3491,28.3333333333333,12.8139534883721,129
