,procedures,meanDay,meanDayFromLVAD,n
222,3766,9.712714474,0.327320722,2273
291,3961,11.56076618,2.929326288,1514
196,3721,9.142490372,-7.319640565,779
270,3893,12.44914135,0.65653897,757
217,3761,7.222222222,-4.063492063,756
593,9904,10.49859551,2.039325843,712
510,8872,9.566666667,0.619298246,570
578,9672,8.35047619,-0.481904762,525
534,8964,7.15885947,-7.50305499,491
124,3403,13.4670913,4.511677282,471
596,9907,8.146993318,0.530066815,449
566,9604,11,0.876146789,436
594,9905,7.849206349,0.695767196,378
220,3764,22.22849462,13.69623656,372
501,8856,3.869863014,-5.130136986,292
577,9671,10.42105263,1.609022556,266
137,3479,15.42145594,4.245210728,261
269,3891,10.01632653,1.457142857,245
306,3995,14.47297297,5.837837838,222
51,341,14.96208531,5.355450237,211
46,311,30.68717949,18.78974359,195
199,3725,42.19553073,29.83240223,179
538,8968,6.752808989,-5.494382022,178
125,3404,20.66666667,10.1920904,177
198,3723,6.066666667,-4.096969697,165
197,3722,2.709677419,-4.064516129,155
272,3895,19.7987013,10.56493506,154
156,3533,9.42384106,-0.38410596,151
168,3571,8.645833333,0.673611111,144
524,8949,8.881118881,-0.013986014,143
584,9744,9.814814815,-2.511111111,135
614,9962,10.3828125,2.25,128
498,8853,1.937007874,-4.811023622,127
141,3491,28.68253968,13.07142857,126
113,3324,18,6.872881356,118
186,3615,3.572727273,-1.527272727,110
210,3749,7.146788991,0.229357798,109
211,3751,49.76415094,35.33018868,106
182,3611,4.557894737,-0.294736842,95
295,3965,7.658823529,-0.635294118,85
595,9906,7.463414634,0.536585366,82
218,3762,7.518518519,-2.765432099,81
80,966,11.8,2.9,80
240,3794,24.11392405,12.43037975,79
313,4223,10.93670886,0.620253165,79
329,4513,28.36708861,14.63291139,79
145,3511,7.986486486,0.581081081,74
5,17,4.698630137,-3.561643836,73
112,3323,20.66666667,9.472222222,72
281,3931,8.666666667,1.125,72
58,375,60.53521127,47.38028169,71
184,3613,2.253521127,-0.605633803,71
194,3712,26.3,13.2,70
590,9900,5.630769231,0.307692308,65
183,3612,3.34375,-1.484375,64
111,3322,15.11666667,7,60
147,3514,12.53333333,0.533333333,60
223,3768,10.59322034,0.169491525,59
273,3897,11.27118644,-0.288135593,59
602,9915,18.3220339,7.796610169,59
30,66,1.724137931,-4.068965517,58
127,3409,20.49122807,11.70175439,57
149,3522,4.759259259,-1.518518519,54
148,3521,5.641509434,-1.056603774,53
463,8622,58.09433962,37.32075472,53
219,3763,17.30769231,8.442307692,52
221,3765,11.76923077,0.730769231,52
332,4523,30.23076923,15.98076923,52
205,3733,8.916666667,-0.270833333,48
558,9390,10.625,0.583333333,48
2,12,10.5106383,0.978723404,47
529,8959,9.70212766,-0.14893617,47
612,9960,8.595744681,0.957446809,47
307,3998,17.68888889,5.244444444,45
200,3726,19.79545455,5.386363636,44
33,93,63.44186047,47.44186047,43
488,8842,6.488372093,-3.162790698,43
185,3614,2.902439024,-0.536585366,41
613,9961,19.68292683,-1.146341463,41
146,3512,7.675,-1.875,40
551,9339,12.1,1.65,40
10,40,4.638888889,-6.055555556,36
598,9909,7.722222222,0.027777778,36
179,3606,2.171428571,-5.171428571,35
245,3799,34.48571429,23.91428571,35
466,8628,20.51428571,5.342857143,35
230,3777,22.41176471,9.117647059,34
502,8857,5.529411765,-4.970588235,34
533,8963,7.382352941,-14.91176471,34
293,3963,7.242424242,-0.272727273,33
206,3734,18.375,6,32
232,3779,26.71875,7.59375,32
493,8848,9.419354839,-4.129032258,31
606,9920,5.709677419,-2.258064516,31
531,8961,7.166666667,0,30
98,3142,31,18.62068966,29
478,8741,12.96428571,3.392857143,28
557,9383,18.03571429,7.642857143,28
574,9656,16.64285714,10,28
251,3808,13.37037037,-3.185185185,27
485,8801,15.19230769,3.884615385,26
231,3778,6.08,-0.4,25
180,3607,2.208333333,-2.5,24
458,8604,54.04166667,31.91666667,24
143,3499,19.34782609,8,23
239,3791,7.260869565,2.695652174,23
282,3932,8.565217391,1.739130435,23
537,8967,2.956521739,-9.869565217,23
607,9921,14.52173913,3.130434783,23
316,4311,44.5,37.36363636,22
323,4443,49.59090909,37.13636364,22
193,3711,16.9047619,9.047619048,21
283,3941,11.52380952,2,21
334,4525,33.9047619,13.71428571,21
335,4542,22.33333333,7.571428571,21
417,7761,25.76190476,19.47619048,21
532,8962,8.666666667,-13.9047619,21
208,3736,5.55,-0.8,20
260,3845,3.55,-1.35,20
459,8605,37.85,4.7,20
492,8847,16.65,5.45,20
599,9910,15.25,7.15,20
204,3732,10,-0.736842105,19
331,4516,25.89473684,12.05263158,19
467,8659,22.36842105,14,19
91,2319,13.55555556,-8.277777778,18
576,9659,16.38888889,4.777777778,18
150,3523,6.882352941,-2.176470588,17
176,3601,1.823529412,-2.941176471,17
421,7841,16.88235294,4.352941176,17
433,8314,5.588235294,1.588235294,17
515,8877,12.88235294,3.823529412,17
14,45,1.875,-9,16
116,3328,21.875,0.125,16
151,3524,2.8125,-0.1875,16
201,3727,14.625,-0.5,16
287,3956,19.1875,10.3125,16
347,4639,57.5,49.8125,16
378,5412,25.1875,14.0625,16
441,8382,39.3125,32.3125,16
497,8852,4.5625,-7,16
90,2309,14.46666667,-5.6,15
207,3735,5.666666667,-6.933333333,15
227,3774,13.2,-0.466666667,15
249,3805,4.8,-13.33333333,15
333,4524,33.73333333,11,15
473,8674,37.06666667,23.93333333,15
84,2101,24.5,13.07142857,14
122,3401,9.571428571,1.571428571,14
359,5013,7.785714286,-8.571428571,14
389,5491,16.85714286,-7.785714286,14
428,8191,21.57142857,0,14
562,9396,2.571428571,-3.142857143,14
585,9749,10,0.142857143,14
244,3798,23.30769231,12.30769231,13
288,3957,14.53846154,6.076923077,13
294,3964,4.307692308,-0.076923077,13
382,5459,37.61538462,33.76923077,13
499,8854,4.153846154,-7.230769231,13
19,51,17.66666667,-3,12
97,3129,39.66666667,31.16666667,12
110,3321,21,14.5,12
126,3406,31.75,14.83333333,12
172,3593,5.5,0,12
192,3710,12.25,-1.666666667,12
336,4543,58.91666667,19.83333333,12
358,5012,22.25,2.916666667,12
432,8309,7.25,1.25,12
